"Enabled","Włączony"
"Disabled","Wyłączony"
"Conditions","Warunki"
"Edit","Edycja"
"Delete","Usuń"
"Save","Zapisz"
"Force","Wymuś"
"Generate","Generowanie"
"Url","Adres url"
"Filename","Nazwa pliku"
"Name","Nazwa"
"ID","Id"
"Template","Szablon"
"Back","Powrót"
"General","Ogólne"
"Feed configuration","Konfiguracja feedów"
"Product tabs","Zakładki produktów"
"Product feeds","Feedy produktów"
"Feed id","Id"
"Feeds directory","Katalog plików xml"
"Products feeds","Feedy produktów"
"Cron expression","Wyrażenie cron"a"
"Use raw images","Użyj surowych obrazów"
"Conditions (don"t add conditions if rule to applied to all products)","Warunki (pozostaw puste aby wybrać wszystkie produkty)"
"Generate products feeds","Generowanie plików"
"The feed has been deleted.","Feed został usunięty"
"Unexpected error occured.","Wystąpił niespodziewany błąd"
"We can"t find a feed to delete.","Nie udało sie odnaleźć rekordu do usunięcia"
"We can"t find a feed to generate.","Nie udało sie odnaleźć rekordu do generowania"
"The feed has been generated.","Plik został wygenerowany"
"Enable Product Feeds Module","Włącz moduł feedów"
"Enable creation by schedule","Włącz automatyczne generowanie w cronie"
"In this directory all xml files will be saved. This directory should be free to write.","W tej lokalizacji będą zapisywane pliki."
"Enable/Disable cron generation","Włącz/Wyłącz generowanie w cronie"
"Sample cron expression 0 3 * * * (every day at 3 am)","Przykładowe wyrażenie 0 3 * * * (codziennie o 3 w nocy)"
"Delete ${ $.$data.title }","Usuń"
"Generate ${ $.$data.title }","Generowanie"
"Are you sure you wan"t to do that action on a ${ $.$data.title } record?","Czy na pewno chcesz wykonać tą akcje?"
"Are you sure you wan\"t to do that action on a ${ $.$data.title } record?","Czy na pewno chcesz wykonać tą akcje?"
"Allowed product attributes: isAvailable","Dozwolone atrybuty: isAvailable"
"File not exists","Plik nie istnieje"
"Unable to read","Brak dostępu do pliku"
"Last generation","Ostatnio wygenerowany"
"At minute 0 past every hour","Co godzinę"
"At minute 0 past every 3rd hour","Co 3 godziny"
"At minute 0 past every 6th hour","Co 6 godzin"
"At minute 0 past every 12th hour","Co 12 godzin"
"At 10:00 pm","Codziennie o 22 w nocy"
"At 3:00 am","Codziennie o 3 w nocy"
"At 6:00 am","Codziennie o 6 w rano"
"At 8:00 am","Codziennie o 8 w rano"
"At 03:00 on Monday","W każdy poniedziałek o 3 w nocy"
"At 03:00 on Tuesday","W każdy wtorek o 3 w nocy"
"At 03:00 on Wednesday","W każdy środę o 3 w nocy"
"At 03:00 on Thursday","W każdy czwartek o 3 w nocy"
"At 03:00 on Friday","W każdy piątek o 3 w nocy"
"At 03:00 on Saturday","W każdą sobotę o 3 w nocy"
"At 03:00 on Sunday","W każdy niedzielę o 3 w nocy"
"Every minute","Co minutę"
"Every 5 minutes","Co 5 minut"
"Every 10 minutes","Co 10 minut"
"Every 30 minutes","Co 30 minut"
"Generation time","Generacja pliku xml"
"-- Select template to load --","-- Wybierz szablon --"
"Generation is disabled by configuration","Generacja jest wyłączona przez konfigurację"
"Defines the frequency of running the cron.","Definiuje częstotliwość uruchamiania crona."
"-- Please Select a Cron Frequency --","-- Proszę wybrać częstotliwość uruchamiania crona --"
"Frequency of generation","Częstotliwość generowania"
"Ceneo API Url for Categories","Adres URL API kategorii Ceneo"
"Url to API with XML for categories.","URL zawierający XML z kategoriami."
"Cron frequency","Częstotliwość Crona"
"Ceneo Feeds","Feedy Ceneo"
"Feed listing","Lista feedów"
"Mapping categories","Mapowanie kategorii"
"Mapping Categories","Mapowanie kategorii"
"Add mapping","Dodaj Mapowanie"
"Edit mapping","Edytuj Mapowanie"
"Exclude categories","Wykluczone kategorie"
"Category name","Kategoria sklepu"
"Mapping name","Kategoria ceneo"
"Add feed","Dodaj feed"
"Edit feed","Edytuj feed"
"Ceneo Categories Mapping","Mapowanie kategorii Ceneo"
"-- Please Select a Cron Expressions --","-- Wybierz częstotliwość Crona --"
"-- Please Select Ceneo Category Mapping --","-- Wybierz mapowanie kategorii Ceneo --"
"Conditions (don't add conditions if rule to applied to all products)","Pozostawione puste utworzy feed ze wszystkimi produktami."
"Additional attributes","Dodatkowe atrybuty"
"Manufacturer Code Attribute","Artybut Kod_producenta"
"Manufacturer Attribute","Artybut Producent"
"EAN Attribute","Artybut EAN"
"Available in Buy at Ceneo","Dostępny w Kup na Ceneo"
